grp,n,internet_use_pct,social_info_pct,learning_pct,no_computer_pct,no_mobile_pct,low_edu_pct,no_college_pct,dvi_mat_mean,dvi_skill_mean,dvi_mot_mean,internet_wave3,internet_wave4
Low,1734,3.400503778337532,69.83627204030228,2.518891687657431,70.3962703962704,9.79020979020979,9.543088490456912,51.106427818756586,0.40093240093240096,0.19826589595375724,0.6382241813602015,2.8838659392049886,2.9539530842745436
Mid,1411,0.07710100231303006,55.898226676946805,0.07710100231303006,93.28571428571428,18.5,59.985785358919685,91.53225806451613,0.5589285714285714,0.7395315826827538,0.7201233616037008,0,0
High,2154,0,20.762916465475616,0,99.62738705170004,63.577084303679555,92.80074314909429,97.83582089552239,0.816022356776898,0.957288765088208,0.8961854176726219,0,0
