outcome,test,diff,se,pval,n
bhci_fixed,count>=2 vs <=1,0.005739424160151,0.01318109710673252,0.6640747940079346,12517
bhci_fixed,count>=3 vs <=2,0.010884921817730767,0.011944239420142994,0.3640543039904469,12517
bhci_fixed,count==4 vs <=3,-0.002095200129876601,0.013402473757467708,0.8760499221855734,12517
func_cap,count>=2 vs <=1,-0.008274941740828216,0.016038868691906683,0.6069021588728083,13697
func_cap,count>=3 vs <=2,0.02523117455840496,0.016533959987029327,0.1297742299762677,13697
func_cap,count==4 vs <=3,-0.01504720416160732,0.01749167586720561,0.39145710593504346,13697
