outcome,test,est,se,pval,n
bhci_fixed,linear_trend,0.004122345718231611,0.005220785026147679,0.4313991135975431,12517
bhci_fixed,count4_minus_count0,0.017584029946136448,0.0216650138467155,0.41700252101088,12517
bhci_fixed,count4_minus_count3,-0.005080136984741357,0.013792296534632533,0.7126260828586535,12517
bhci_fixed,count4_minus_count1,0.007528949917765822,0.018502697988419678,0.684073413076549,12517
func_cap,linear_trend,0.002178044816474052,0.008348592654170817,0.7946498348296961,13697
func_cap,count4_minus_count0,0.008716089869084294,0.033902068310073585,0.7971045807442592,13697
func_cap,count4_minus_count3,-0.024694256413777295,0.017313479446082018,0.1537810866921061,13697
func_cap,count4_minus_count1,-0.011089284911779431,0.025665531864505677,0.6656911450549718,13697
