term,est,se,pval,n,outcome,version
treat_stack,0.004519542095535435,0.007161543213256706,0.5292372849166639,24539,bhci_fixed,dvi_main_econ
treat_stack:dvi_main_econ,0.015434522472839315,0.010059323923769485,0.12769023285930622,24539,bhci_fixed,dvi_main_econ
treat_stack,-5.628782497311691e-4,0.011233249292759796,0.9601230680883557,24539,bhci_fixed,dvi4_econ
treat_stack:dvi4_econ,0.01944101423061853,0.014586923195804137,0.18524186065026696,24539,bhci_fixed,dvi4_econ
treat_stack,0.0379207013267454,0.01039649628422911,3.994265241495868e-4,27498,func_cap,dvi_main_econ
treat_stack:dvi_main_econ,-0.032200162711934474,0.01308809503462385,0.015370476553561394,27498,func_cap,dvi_main_econ
treat_stack,0.048878173645174494,0.015948968110621315,0.0027155270973293366,27498,func_cap,dvi4_econ
treat_stack:dvi4_econ,-0.041245975485208114,0.020765416724998775,0.049380592631410036,27498,func_cap,dvi4_econ
