dvi_terc,ATT,SE,pval,n
Low,0.0029082057326829096,0.005754646210567818,0.6142686112666924,12110
Mid,0.005982329366168543,0.008926727729341282,0.5041357024609221,5338
High,0.035600893953327516,0.006936995861816911,1.3221552125967853e-6,8141
