egt,att,se,ci_low,ci_high
-3,0.19500867601721616,0.24793159551143545,-0.377351360397123,0.7673687124315554
-2,-0.30950823844404496,0.17707517293914304,-0.7182933802588916,0.09927690337080158
-1,0,NA,NA,NA
0,-0.2398552928209317,0.21189625970150866,-0.7290263106116992,0.24931572496983578
1,-0.20152232191417968,0.3993419412721017,-1.123419216808847,0.7203745729804878
