spec,window,outcome,ATT,SE,ci_low,ci_high,pval,N_obs,p_fdr
full,2011_2020,func_cap,0.007858063541564186,0.007294358120564821,-0.006438878374742864,0.022155005457871236,0.28135535215308055,28233,0.5627107043061611
full,2011_2020,cog_cap,-0.2597526585537171,0.21065521157078587,-0.6726368732324575,0.15313155612502322,0.21754958379566033,13227,0.5627107043061611
full,2011_2020,psych_cap,0.0019924090433056617,0.006410882670877936,-0.010572920991615093,0.014557739078226417,0.7559637330263027,24790,0.7559637330263027
full,2011_2020,srh_cap_fixed,-0.003689531929496331,0.00784627792391944,-0.01906823666037843,0.011689172801385771,0.6381928276957314,26428,0.7293632316522644
full,2011_2020,bhci_fixed,0.006026459085871158,0.005375713834276986,-0.004509940029311735,0.01656285820105405,0.26226538500809055,24714,0.5627107043061611
full,2011_2020,bhci4_z,0.031715320368146685,0.04026315883362723,-0.047200470945762685,0.11063111168205605,0.43087176739584354,13078,0.6097549465820375
full,2011_2020,hci_anderson,0.05286078836023788,0.04080966919954548,-0.027126163270871258,0.13284773999134702,0.19521655771396051,13078,0.5627107043061611
full,2011_2020,hci_pca,0.03052605758604171,0.041069759955199125,-0.04997067192614857,0.11102278709823199,0.4573162099365282,13078,0.6097549465820375
