variable,anderson_weight,pca_loading
z_func,0.5403347750953937,0.31676606639738464
z_psych,0.1004581799791672,0.6077590425738908
z_srh,0.15819074993355448,0.5708846730040854
z_cog,0.20101629499188461,0.4520828413884048
