spec,window,outcome,ATT,SE,ci_low,ci_high,pval,N_obs,p_fdr
chronic_base1,2011_2018,func_cap,0.018443378802106922,0.008056494704522327,0.002652649181243163,0.034234108422970685,0.022064482864051774,17573,0.022064482864051774
chronic_base1,2011_2018,bhci_fixed,0.014944281944750063,0.005104754658828272,0.00493896281344665,0.024949601076053478,0.003416748062407124,15883,0.006833496124814248
chronic_base0,2011_2018,func_cap,0.002202068986720435,0.011342863071692492,-0.020029942633796847,0.02443408060723772,0.8460686400007047,6004,0.8460686400007047
chronic_base0,2011_2018,bhci_fixed,-0.004191667823457987,0.008933127977481508,-0.021700598659321745,0.013317263012405768,0.6389071496203084,5447,0.8460686400007047
