group,t,att,se,egt,post
3,1,-0.058646768894222975,0.30154482447024217,-2,0
3,3,-0.26759651198056866,0.24147292968336317,0,1
3,4,-0.20152232191417968,0.40859950519904514,1,1
4,1,0.19500867601721616,0.23527787457104257,-3,0
4,2,-0.5218301985342808,0.2509880763134571,-2,0
4,4,-0.2163759197715877,0.35831235279256174,0,1
