variable,mean_never,mean_ever,diff,std_diff,n_never,n_ever
age_base,68.33512126865672,68.51142857142857,0.17630730277184625,0.025247216296039765,4288,2800
gender_base,0.5065298507462687,0.49607142857142855,-0.01045842217484011,-0.020915227216525258,4288,2800
rural_base,0.6441231343283582,0.5132142857142857,-0.13090884861407248,-0.2686577669592812,4288,2800
edu_base,1.6616787467851297,1.7448943031171622,0.08321555633203248,0.08841188025248006,4277,2791
marry_base,0.7854808590102708,0.7899069434502506,0.004426084439979827,0.010813266695217883,4284,2794
hhcperc_base,6504.915051144706,7800.8809033144125,1295.9658521697065,0.12977260147061795,3545,2276
gdp_pc_log_base,10.192615112928541,10.533265907588754,0.3406507946602133,0.6308207566124647,4230,2800
smoke_base,0.43198874296435275,0.40802312974340443,-0.023965613220948312,-0.04852343637976541,4264,2767
drink_base,0.3070607553366174,0.29067245119305857,-0.01638830414355885,-0.03574178937866366,4263,2766
ins_base,0.9351873674287061,0.9345454545454546,-6.419128832515497e-4,-0.002602254101982255,4243,2750
children_base,3.316464552238806,3.2060714285714287,-0.11039312366737741,-0.06895106544989983,4288,2800
chronic_count_base,1.6492502343017807,1.6490974729241876,-1.527613775931247e-4,-1.0213861831928956e-4,4268,2770
func_cap,0.8816397600980245,0.8877628746481205,0.006123114550096065,0.028186814747160685,4229,2745
cog_cap,15.579944547134936,16.173705722070846,0.59376117493591,0.13829517230105604,2164,1468
psych_cap,0.694118638355241,0.7092977638289525,0.015179125473711474,0.07048831715242175,3956,2549
srh_cap_fixed,0.4558513133208255,0.46880650994575046,0.012955196624924947,0.056727395259719836,4264,2765
