spec,window,outcome,ATT,SE,ci_low,ci_high,pval,N_obs,p_fdr
extended,2011_2018,func_cap,0.021485249910109278,0.01114775818440308,-3.6435613132075953e-4,0.04333485595153931,0.053940292124278526,19376,0.4105568557017744
extended,2011_2018,cog_cap,-0.17986379680500145,0.2664758069381564,-0.702156378403788,0.34242878479378513,0.4996933436001359,9316,0.6064147785202343
extended,2011_2018,psych_cap,0.003216401816332558,0.006243042126363889,-0.009019960751340664,0.01545276438400578,0.6064147785202343,17650,0.6064147785202343
extended,2011_2018,srh_cap_fixed,-0.0055369599044809235,0.010703990269004482,-0.02651678083172971,0.015442861022767861,0.6049607252238567,18434,0.6064147785202343
extended,2011_2018,bhci_fixed,0.009867114049770758,0.006651504338115547,-0.003169834452935713,0.02290406255247723,0.13795728892079767,17601,0.4105568557017744
extended,2011_2018,bhci4_z,0.06181867667592316,0.05164851354129717,-0.03941240986501928,0.1630497632168656,0.23134122595490314,9297,0.4105568557017744
extended,2011_2018,hci_anderson,0.07646675395302498,0.05524247017352588,-0.03180848758708575,0.1847419954931357,0.1662965210753793,9297,0.4105568557017744
extended,2011_2018,hci_pca,0.061403875641208944,0.05412567192918935,-0.04468244134000218,0.16749019262242007,0.256598034813609,9297,0.4105568557017744
