group,t,att,se,egt,post
3,1,0.008387918076365337,0.011511287771472698,-2,0
3,3,0.014298407086395591,0.011049382017369096,0,1
3,4,0.013165696243280938,0.013060475695599373,1,1
4,1,-0.009269055454718516,0.011164671963287373,-3,0
4,2,-0.01613586040612867,0.008336462459690084,-2,0
4,4,0.01707401034478253,0.00932256795117454,0,1
