group,t,att,se,egt,post
3,1,0.008539673263805772,0.012301633582361618,-2,0
3,3,0.010955953963256677,0.013406629337338256,0,1
3,4,0.027404913876675614,0.02505526717216039,1,1
4,1,-5.661376246662846e-4,0.016787457529737707,-3,0
4,2,-0.020466460334105766,0.01020688127576238,-2,0
4,4,0.023929973757909808,0.010923458147019229,0,1
