dvi3,ATT_bhci_fixed,ATT_func_cap,SE_bhci_fixed,SE_func_cap,pval_bhci_fixed,pval_func_cap,p_fdr_bhci_fixed,p_fdr_func_cap,baseline_n_bhci_fixed,baseline_n_func_cap,N_obs_bhci_fixed,N_obs_func_cap
0,0.045506406011746436,0.02678224170961361,0.06764532866450816,0.1471136763631166,0.5011250602055779,0.8555424366358495,0.6681667469407705,0.8555424366358495,9,29,51,74
0.1667,-0.0043522902919186715,-0.014338341256142667,0.025397885340504897,0.05553112174884698,0.86393734104913,0.7962497003787692,0.86393734104913,0.8555424366358495,146,148,356,374
0.25,-0.05876765109484012,0.18597214904244128,0.06364373383895913,0.09921883503364734,0.35580675380791904,0.06088035996282634,0.5692908060926705,0.48704287970261073,4,62,72,143
0.3333,-0.02801261478484112,0.013629763440912929,0.028929676123768202,0.040060807423903076,0.3328944026530177,0.7336856785053474,0.5692908060926705,0.8555424366358495,506,511,1351,1411
0.5,0.03731170228578787,-0.0038381183255202563,0.01994713718651035,0.020179009471766245,0.06141036792889335,0.8491496647996466,0.2456414717155734,0.8555424366358495,893,966,2591,2773
0.6667,0.004639615645015658,0.010737090029590172,0.012065865690742588,0.015412487280139912,0.7005900678447035,0.48602263797167766,0.8006743632510896,0.8555424366358495,1266,1275,3441,3661
0.75,-0.07138592674472151,0.0782480515809498,0.04838137630143605,0.23996346898614518,0.14008257717257416,0.7443614208756754,0.3735535391268644,0.8555424366358495,12,124,158,235
0.8333,0.022795326999024368,0.014655493867064875,0.011645715450704442,0.015939951197085533,0.050300422427609764,0.35787645907394483,0.2456414717155734,0.8555424366358495,1371,1394,3497,3821
1,NA,NA,NA,NA,NA,NA,NA,NA,656,746,2054,2444
