outcome,dvi_terc,cov_used,ATT,SE,ci_low,ci_high,pval,N_obs,est_method,control_group,p_fdr
bhci_fixed,Low,ext,0.014092638081916981,0.00820578226600805,-0.0019906951594587975,0.03017597132329276,0.0859054971409298,4406,dr,nevertreated,0.1288582457113947
bhci_fixed,Mid,ext,0.005289235148820046,0.012252196428913701,-0.01872506985185081,0.029303540149490902,0.6659617248149428,3524,dr,nevertreated,0.6659617248149428
bhci_fixed,High,ext,0.02149168590537885,0.009589288554125663,0.0026966803392925523,0.04028669147146515,0.025011958868037146,5154,dr,nevertreated,0.07503587660411144
func_cap,Low,ext,0.011076658698120323,0.015527861981307024,-0.01935795078524144,0.04151126818148209,0.47563484807660783,4747,dr,nevertreated,0.47563484807660783
func_cap,Mid,ext,0.012356596604488164,0.014946615541833049,-0.01693876985750461,0.04165196306648094,0.4083984149459655,3896,dr,nevertreated,0.47563484807660783
func_cap,High,ext,0.030689688149314283,0.0176593396578246,-0.0039226175800219296,0.06530199387865049,0.08223320851220639,5764,dr,nevertreated,0.24669962553661917
