group,t,att,se,egt,post
3,1,-0.0028117459709757,0.0120617061139085,-2,0
3,3,0.009135838887725973,0.01255424510519317,0,1
3,4,0.015740751336602597,0.011365858949228171,1,1
4,1,0.0033433981691326953,0.00974315721135029,-3,0
4,2,-0.005654031549031123,0.008321776789113021,-2,0
4,4,0.015543858797251956,0.0077155990504316485,0,1
