variable,type,mean_never,sd_never,mean_ever,sd_ever,smd,n_never,n_ever,label
age_base,mean_sd,68.36209068010075,6.863244468584377,68.53320772491757,6.924951431977456,0.024842665086614875,3176,2123,年龄
female_share,share,0.496536523929471,0.5000667362590983,0.48563353744700893,0.49991131300744196,-0.021805777634645827,3176,2123,女性比例
edu_none,share,0.5825181445250868,0.4932215735173389,0.5476415094339623,0.49784254100407865,-0.07044663262600936,3169,2120,未受正式教育
edu_primary,share,0.23288103502682234,0.4227337812322171,0.23349056603773585,0.4231514888834446,0.001441308147388046,3169,2120,小学
edu_junior_plus,share,0.18419395465994962,0.3877033270057356,0.21855864342910974,0.41336575639759404,0.08630388225290922,3176,2123,初中及以上
marry_base,share,0.7874685138539043,0.4091632509615743,0.7941592086669806,0.40440993551261206,0.016428328201126125,3176,2123,已婚有配偶
rural_base,share,0.6366498740554156,0.48104019661462727,0.5077720207253886,0.5000573773195449,-0.2636901023978712,3176,2123,农村居民
hhcperc_wan,mean_sd,0.6859268142897382,0.8371720937479281,0.7981449135496366,1.2936049569679795,0.10756604555053238,2631,1743,家庭人均消费（万元）
pension_base,share,0.6262760763426543,0.4838990435167154,0.6534229828850856,0.47602510103673074,0.05648512836903505,2253,1636,养老保险参与
children_base,mean_sd,3.364294710327456,1.6058467013990028,3.220913801224682,1.5474571624951685,-0.09059178470526161,3176,2123,子女数量
func_cap,mean_sd,0.8637085824883728,0.2338483975578189,0.8715715025012938,0.2288566224043989,0.03391249487509221,3147,2108,功能健康能力
psych_cap,mean_sd,0.6726356325744705,0.21847467730744702,0.6921227621483376,0.21731697997326727,0.0893850181855975,2943,1955,心理健康能力
srh_cap_fixed,mean_sd,0.417875157629256,0.22080846731408954,0.43882853094000945,0.21570355142360054,0.09577387260619305,3172,2117,自评健康能力
cog_cap,mean_sd,15.568676196395277,4.2900629482197585,16.151921358355676,4.195168591037406,0.13718894334402332,1609,1119,认知健康得分
bhci_fixed,mean_sd,0.6561691893256426,0.16675434109358436,0.6750637164643344,0.16056667808808558,0.11499208022944715,2921,1942,综合健康能力
chronic_count_base,mean_sd,2.216309823677582,1.3745029339065225,2.1516721620348562,1.2756624129493919,-0.048389256692369466,3176,2123,慢性病数量
smoke_base,share,0.430327868852459,0.49520006342069,0.39622641509433965,0.4892279030894304,-0.06919706150778782,3172,2120,当前吸烟
drink_base,share,0.28404791929382095,0.45103085427649775,0.26946672958942897,0.44378751083231727,-0.03253681952387108,3172,2119,当前饮酒
