rep,placebo_func,placebo_bhci
1,0.007985678518841344,0.0063095812488966506
2,0.008180938208497638,4.991690129458636e-4
3,0.00542501892831355,0.0035572154532527945
4,0.014496153890957602,0.00648437941732207
5,-0.017277806670949507,0.0064541046069352985
6,0.015022717214475264,0.007721358767796583
7,-0.016169672674886573,0.0012618349024261168
8,-0.014524063059214958,0.0017827727505406272
9,-0.0032147888195425264,0.0041733685490183805
10,-0.006536801849838009,-0.011104712456689805
11,-0.01009694456311093,0.006046341085329878
12,0.006938798002775837,-0.0035162173076279755
13,0.015284292159934428,0.004392477345863275
14,-0.006111574513387619,-0.0016393020090994586
15,0.0029220027493979794,0.008778907924077662
16,0.014191213331535819,0.014118687236658154
17,-0.008661375881734726,-0.007150894835987765
18,0.01076361736931473,3.6820535091188324e-4
19,0.0021709225348681732,-0.010348086447209172
20,-0.00313876939821864,-0.009319681897594743
21,-0.005455547295359143,-0.008846951236461141
22,0.014924349707210691,0.006541562539980115
23,-0.009819477662811467,-0.006541315292616282
24,-0.007332392613672542,0.0029092550734868415
25,-0.01079790362776607,-0.010271421872164035
26,-0.0029626021430519665,0.005902973913458953
27,-0.005948543066829211,0.0067984403421233785
28,0.008910275457436063,0.005286286884430199
29,0.007796306136635339,0.004062880447721716
30,-0.006914013203372742,0.007086507795737853
31,-0.005217362232908846,-1.490519958854284e-4
32,0.011068588280305531,0.005810969364290335
33,0.01440023549097843,0.010624621148177084
34,0.004474937793325047,0.009790214223020234
35,-0.004834041114470468,-0.0019555393346918715
36,0.007257729247989972,0.006084947001438456
37,-0.007286365271522242,-0.0017903409892090355
38,-0.001660859522228485,0.0068189326077035105
39,0.026629477341065758,0.005568977217594001
40,-0.009959619888569065,-0.013664206315792422
41,0.0058612741802278705,-5.6737613740272e-4
42,-0.017886032484084977,-0.00562687072413642
43,0.004094678828041724,0.006513122213991956
44,-0.002202862919717099,0.007246695124014004
45,0.001161925476849762,0.002774627013085696
46,0.02148699421955067,0.002124209232048599
47,-0.005093781473512831,-0.006817987818903192
48,-0.01229330089362773,-0.0082948393694866809
49,-0.0071820975594847295,0.0013511727554453758
50,-0.007595395854143196,0.003870501726240843
51,-0.019272975317554057,-0.010671379009743487
52,0.02063464895138524,0.007757338215020952
53,0.02271250659327065,0.006028227302968759
54,0.014641561182984448,0.0025510686035542726
55,0.009278716582188871,0.006956817295460605
56,-0.009265067149827576,-0.004349509796375326
57,0.004759385914215024,-0.006855158217180445
58,-0.0035323744749087265,-0.00329387586698729
59,-0.01708509683904992,-0.009433407671309454
60,-0.016289752219838912,-0.008168432124334489
61,-0.016052808410243428,-0.010739382580067935
62,-0.003493941235086081,0.001931591034725261
63,0.014287919719455467,0.01755886375163477
64,0.0033949301722156966,0.002311023780036192
65,2.1370823088024952e-4,0.0010925020510475004
66,-0.008717373926667087,3.8515899974342594e-5
67,0.013566997339364128,0.016171433804036774
68,0.003499479784134125,0.004614612536080337
69,-0.01755761697322691,-0.006080816693174167
70,0.0044011713924912675,6.885359216465734e-4
71,-0.017767813535474946,-0.014216228998341263
72,-0.0032117997812179952,-9.309484644174363e-4
73,-0.015892620594400757,-0.015181125713193175
74,0.014154777701537754,0.0013285601753966788
75,4.7555585284862024e-4,0.00369762262426502
76,-2.935127677064958e-4,-0.0011178777590301358
77,-0.0012170978979202222,0.00932107024089314
78,0.011774143976824221,0.004751585559791696
79,0.004861504872332708,0.003396932470556163
80,-0.005578241129505293,6.077088684845019e-4
81,7.015808691766018e-4,-0.006373179220109873
82,0.010794864434608852,-0.0018034552338338137
83,0.017474740923765497,0.0016504018102118433
84,0.010994695410240757,0.003417660177711857
85,0.008064624440920721,0.0026673276567660375
86,-0.018662998284614738,-0.0026044758997262087
87,-0.014913347555189499,0.002592299948959745
88,0.010279349793290737,0.0019468607158892777
89,-0.011478219454589484,-0.006438415096443426
90,0.012883868006248122,0.008172915505349685
91,-0.005274394957337215,0.003547556067399852
92,-0.02062159270236042,0.004328657195762048
93,-0.023749373357696665,7.753154147542002e-4
94,0.0028403993451773402,-0.005427309438298248
95,-0.00754686296804525,-0.007633110064489396
96,0.01965936041670679,0.0088545925506762
97,-0.009649469037221305,0.008038319602469554
98,-0.018671032557596765,-0.008982247357099895
99,0.0011195186016448584,-0.01120992194965
100,0.014576634255331141,0.002027311003051214
101,0.013992566986867105,-3.2571317577086443e-4
102,-0.004447365131203832,-0.0086834522348122
103,-0.024865590475005604,-0.014680737338031376
104,-0.0038257385165287442,0.002031442665370222
105,-0.001927895192401425,0.008472306316319546
106,-0.012447607949484449,0.0010515190437202825
107,0.005437334292011212,0.001924420569336115
108,-0.008224280472511973,0.002414672834275776
109,0.0018449246533940955,0.00588767761253721
110,0.0013723432928427835,-0.008426969315684285
111,0.014729008377980333,0.004934048795527976
112,-0.017764531872757793,-0.009862312093235442
113,0.01339053666701912,3.311897527171366e-4
114,-0.007129675032207434,-0.0017985516683887727
115,0.00844966293438147,0.0023446563126258762
116,-0.0024857781923033097,0.0010434095100209544
117,-0.009984320303255098,-0.004708964491893616
118,0.008184853098136997,0.010874688591450592
119,0.001039401599676459,0.0035848805835447194
120,0.005223930848186031,0.006346058778989765
121,0.003028691624105625,0.001457242386826423
122,0.008386849775429108,0.0035661928669018118
123,-0.003291820129386713,-0.013181058353395688
124,-0.007248167342560538,0.002097320851847619
125,-0.016513970379598526,-0.0030917753592948393
126,-0.00406234973831457,-0.0038500705329343565
127,-0.0050665536995087935,3.6108133627309896e-4
128,0.014824898617724522,0.0050085042000067165
129,0.0032948525164766323,-0.011128530529800808
130,0.002070942197789486,-0.006559201620697114
131,0.003082036670058129,-0.00530496793278999
132,0.012240527221325024,0.0021054620958847483
133,-0.010933813851938886,-0.003956834101836971
134,-0.003277565776020589,-0.004989922466662323
135,-0.0024480571056401394,-0.0023949174143759635
136,0.013649398321070793,-0.005748074962557217
137,0.003665343442189285,0.007490716145053968
138,0.0063031504528148095,-0.005398547443616406
139,0.008213627442916567,0.006377458272058617
140,-0.011616207753504191,-0.0031813386968579725
141,-0.003547410440491232,7.135543437293604e-4
142,-0.0055704749284961955,0.0012667751505676262
143,-0.015790194392084123,-0.00650195426036161
144,-0.002138833122698491,0.002201768111831366
145,4.968262581990162e-4,3.504376736857372e-4
146,0.00351357634381848,-8.009982555878852e-4
147,-0.009441130386406597,-0.003414327054164217
148,0.01989178544057151,0.00640088172870097
149,-0.0040051497047158685,0.0017986139108959322
150,-0.015075472690223683,9.64698123411584e-4
151,0.0012658493703796587,0.0033478131439469124
152,-0.003943107629397139,-0.005883943345615265
153,-0.008647602432862571,-0.00959555658400002
154,-0.017078427742180886,-0.006747236201542586
155,0.008760609199793441,6.211918379789314e-4
156,0.0065948343979256455,0.006346646529959545
157,0.02184382006584408,0.013963142735185376
158,-0.01045153397668916,-0.00396415804496122
159,-0.014556352694731975,-0.004293130076422293
160,0.00887396666965128,-0.001831465077847333
161,-8.35167682649593e-4,-4.515850115834977e-4
162,-3.6497877548885e-4,0.0031726901819301417
163,0.0016328584861692252,-0.00640167020567326
164,0.011094542866857642,0.0030794231157632076
165,-0.018824296718417958,0.006749759194507593
166,0.017544216960536166,0.004663471948916279
167,-0.0013951232565960242,0.0035474716167353967
168,-0.016255276604308727,8.603236353883077e-4
169,0.005891022203121927,0.0057008421048721685
170,-0.009809343068111497,-0.0026134618708733744
171,0.010620019484261672,-0.0018161118208215921
172,0.0023818470398150925,0.0034876276426332965
173,0.012261508609423549,0.001342904592652641
174,-0.0014496776834286367,0.008996557085322663
175,-0.0038026275222207114,0.005291772929237887
176,-0.0015881695290105942,-0.010387778818914829
177,0.0076378812542653865,0.015649286754869162
178,0.006128853236776831,0.0037714749714561984
179,0.004613526308765615,0.0036055468801476803
180,-0.009473604266280527,0.011773051360818031
181,-0.012501009934357375,-0.004863712570229135
182,0.0023063663360685382,-0.003578842909728787
183,-0.0141605293759439,-0.0033502155064048934
184,4.0743540961738487e-4,0.004524338175977028
185,0.0011675134730562873,-0.00851769123451405
186,-0.013680777978589026,-0.00385769809186302
187,0.0033713198143892806,0.0034497496370958776
188,0.005966090304397903,-0.004648199454456929
189,-0.004194147977331541,5.035928133889359e-4
