outcome,ATT,SE,pval,n,spec,p_fdr
func_cap,0.02016767901044079,0.008165623162199208,0.013517829463225627,22460,ctrl12_at_means,0.03379457365806407
bhci_fixed,0.013048598791320339,0.004522605049984205,0.003911709261337391,20184,ctrl12_at_means,0.019558546306686957
psych_cap,0.01110058267060391,0.007559468710964191,0.14198630732651607,20238,ctrl12_at_means,0.23664384554419346
srh_cap_fixed,-0.0010605122074401722,0.008379619055474529,0.8992898270713812,21157,ctrl12_at_means,0.8992898270713812
cog_cap,-0.15762203506587663,0.251594635171888,0.5309922593920579,9658,ctrl12_at_means,0.6637403242400723
