spec,window,outcome,ATT,SE,ci_low,ci_high,pval,N_obs,p_fdr
main,2011_2018,bhci,0.008038141154803675,0.005270679935845257,-0.002292391519453027,0.018368673829060378,0.1272423342930149,15883,0.27819274802614435
main,2011_2018,func_cap,0.02565251281778747,0.00866179981838831,0.008675385173746383,0.04262964046182856,0.003060764785596128,15883,0.015303823927980641
main,2011_2018,srh_cap,-0.010359211184919562,0.009595673371039923,-0.029166730992157813,0.008448308622318688,0.2803332384754936,15883,0.35041654809436695
main,2011_2018,psych_cap,0.008821121831543132,0.006382023610369646,-0.0036876444447813735,0.021329888107867637,0.1669156488156866,15883,0.27819274802614435
main,2011_2018,che,0.0020168165112714547,0.015783205757014987,-0.02891826677247792,0.03295189979502083,0.8983211485537186,11230,0.8983211485537186
