variable,mean_never,mean_ever,diff,std_diff,n_never,n_ever
age_base,68.14823690516947,68.2615859938208,0.11334908865133286,0.01721689510699661,2921,1942
gender_base,0.4957206436152003,0.48558187435633365,-0.010138769258866642,-0.02027718144453275,2921,1942
rural_base,0.6353988360150633,0.505664263645726,-0.12973457236933728,-0.26533209507039224,2921,1942
edu_base,1.6858710562414265,1.762493560020608,0.07662250377918145,0.08021590619883266,2916,1941
marry_base,0.7939061965080452,0.8012358393408857,0.007329642832840544,0.018213806473185813,2921,1942
hhcperc_base,6891.698779122954,7937.822867368071,1046.1240882451166,0.10190256238213741,2439,1613
chronic_base,1,1,0,NA,2921,1942
gdp_pc_log,10.191248432230232,10.519425600815895,0.3281771685856629,0.6073006403691059,2876,1942
bhci,0.7089479180715059,0.7123105410438058,0.0033626229722998335,0.03150710934358805,2921,1942
func_cap,0.8756341228097476,0.889523452860219,0.013889330050471438,0.06603965979285893,2921,1942
srh_cap,0.5791680931187949,0.555870236869207,-0.02329785624958791,-0.10770665157593978,2921,1942
psych_cap,0.6720415382859751,0.6915379334019911,0.019496395116015974,0.08932048677256138,2921,1942
che,0.08106960950764007,0.08450704225352113,0.0034374327458810555,0.012495256927205345,2356,1562
