outcome,spec,contrast,diff,se,pval
bhci_fixed,base,Q5-Q1,0.012019689267107586,0.008130219375698529,0.1393016356860863
bhci_fixed,base,Q5-Q2,0.026052278229993012,0.009975874016259259,0.009013850287124614
bhci_fixed,base,Q1-Q2,0.014032588962885426,0.008892706720367306,0.11456825114106499
bhci_fixed,ctrl_z_psych,Q5-Q1,-0.009798797786827195,0.01197890236078747,0.4133545342982943
bhci_fixed,ctrl_z_psych,Q5-Q2,0.007722750310558895,0.012527882150342744,0.5376008612876382
bhci_fixed,ctrl_z_psych,Q1-Q2,0.01752154809738609,0.010282321236568729,0.08837249879196679
bhci_fixed,ctrl_lhhc_psych,Q5-Q1,-0.00915298365989161,0.011765754471744947,0.43660776166869825
bhci_fixed,ctrl_lhhc_psych,Q5-Q2,0.008040524981132894,0.01235819596089767,0.5152899605063912
bhci_fixed,ctrl_lhhc_psych,Q1-Q2,0.017193508641024504,0.010356848202466629,0.09689229891488904
bhci_fixed,ctrl_full,Q5-Q1,-0.01090759455103411,0.012147166495850851,0.3692101701027495
bhci_fixed,ctrl_full,Q5-Q2,0.008706857192175513,0.012738717766755316,0.4942937469869098
bhci_fixed,ctrl_full,Q1-Q2,0.019614451743209624,0.009881596382947675,0.04715029362549521
func_cap,base,Q5-Q1,-0.027081212098358676,0.013780687840113607,0.04939609489656541
func_cap,base,Q5-Q2,0.004543964364566222,0.014308222863807573,0.7508057236880046
func_cap,base,Q1-Q2,0.0316251764629249,0.011546880634285203,0.006165445646473701
func_cap,ctrl_z_psych,Q5-Q1,-0.017949630207826743,0.016269697641068358,0.26991631091893237
func_cap,ctrl_z_psych,Q5-Q2,0.007019423386249831,0.017340963810356786,0.6856329548360673
func_cap,ctrl_z_psych,Q1-Q2,0.024969053594076574,0.013681862385738774,0.06800483749757406
func_cap,ctrl_lhhc_psych,Q5-Q1,-0.01557574892211451,0.016108034372444482,0.33356638883424833
func_cap,ctrl_lhhc_psych,Q5-Q2,0.008334142000204211,0.017407135979432088,0.6320970494506659
func_cap,ctrl_lhhc_psych,Q1-Q2,0.02390989092231872,0.01337244145486656,0.0737764228471264
func_cap,ctrl_full,Q5-Q1,-0.018934280303359675,0.016639071202110972,0.2551451451243946
func_cap,ctrl_full,Q5-Q2,0.007057717236232237,0.017411358443486732,0.6852192836577273
func_cap,ctrl_full,Q1-Q2,0.025991997539591912,0.013846759493178772,0.06050196194360895
