outcome,spec,quintile,ATT,SE,pval,n,p_fdr
bhci_fixed,base,Q1,0.016902681662063143,0.006251960008486107,0.0068596681553635295,24539,0.017149170388408824
bhci_fixed,base,Q2,0.002870092699177717,0.007370613274468054,0.6969826914244601,24539,0.6969826914244601
bhci_fixed,base,Q3,0.006219013760057096,0.009885217540961024,0.5292687958504422,24539,0.6615859948130527
bhci_fixed,base,Q4,0.010837160667112912,0.007573577437381186,0.1524540057197534,24539,0.2540900095329223
bhci_fixed,base,Q5,0.02892237092917073,0.007548257792577779,1.2728063351540356e-4,24539,6.364031675770178e-4
bhci_fixed,ctrl_z_psych,Q1,0.018305056692130613,0.007442504507087777,0.013911940422401497,20049,0.034779851056003744
bhci_fixed,ctrl_z_psych,Q2,0.00833319137427008,0.007777393854840007,0.2839612049891005,20049,0.2839612049891005
bhci_fixed,ctrl_z_psych,Q3,0.011754256855168375,0.010242830252525393,0.2511504694918374,20049,0.2839612049891005
bhci_fixed,ctrl_z_psych,Q4,0.01702358711514444,0.008761552780314336,0.05201767440030283,20049,0.08669612400050472
bhci_fixed,ctrl_z_psych,Q5,0.027107021821696577,0.009552910692964232,0.004545883944730175,20049,0.022729419723650876
bhci_fixed,ctrl_lhhc_psych,Q1,0.01823282755461325,0.007460768126707363,0.014532388038371327,20049,0.03633097009592832
bhci_fixed,ctrl_lhhc_psych,Q2,0.008324507112192627,0.007757193671919617,0.28321106514974487,20049,0.28321106514974487
bhci_fixed,ctrl_lhhc_psych,Q3,0.01177889528416285,0.010230734076278792,0.24959874184935973,20049,0.28321106514974487
bhci_fixed,ctrl_lhhc_psych,Q4,0.017049158274897842,0.008747483076158472,0.051291141377510986,20049,0.08548523562918497
bhci_fixed,ctrl_lhhc_psych,Q5,0.027129712811244523,0.009542612788192434,0.004469012038255984,20049,0.02234506019127992
bhci_fixed,ctrl_full,Q1,0.01723762703484053,0.007333661294205632,0.018749195745985037,20031,0.04687298936496259
bhci_fixed,ctrl_full,Q2,0.006272342663142096,0.007838856701019662,0.4236178737958245,20031,0.4236178737958245
bhci_fixed,ctrl_full,Q3,0.012125924252820323,0.010087611318729853,0.22933989112102873,20031,0.28667486390128594
bhci_fixed,ctrl_full,Q4,0.017128468635605576,0.008535452788161257,0.044776928810725376,20031,0.0746282146845423
bhci_fixed,ctrl_full,Q5,0.025987156817966203,0.009573463297666493,0.006637609508401728,20031,0.03318804754200864
func_cap,base,Q1,0.04336431059506202,0.009692670213085453,7.679553860333997e-6,27498,3.839776930166999e-5
func_cap,base,Q2,0.011739134132137119,0.01028753052662528,0.2538269746221911,27498,0.3172837182777389
func_cap,base,Q3,0.013368815960049102,0.010959385439300823,0.22252140981629237,27498,0.3172837182777389
func_cap,base,Q4,0.005991089771904726,0.014529886609491444,0.6800984894242186,27498,0.6800984894242186
func_cap,base,Q5,0.01628309849670334,0.012214520681519092,0.1825011122422238,27498,0.3172837182777389
func_cap,ctrl_z_psych,Q1,0.04384948644589473,0.009746795023923545,6.831816266068784e-6,21632,3.415908133034392e-5
func_cap,ctrl_z_psych,Q2,0.019272267289655996,0.010473422876758317,0.06575184952052762,21632,0.1233594401042582
func_cap,ctrl_z_psych,Q3,0.00974612877977021,0.012712360496528968,0.44328039455535256,21632,0.5541004931941907
func_cap,ctrl_z_psych,Q4,5.969636200911261e-5,0.01503477094558265,0.9968319650094053,21632,0.9968319650094053
func_cap,ctrl_z_psych,Q5,0.02718589110995727,0.015217262607424018,0.07401566406255491,21632,0.1233594401042582
func_cap,ctrl_lhhc_psych,Q1,0.043559697322901894,0.009678509810762957,6.7742284372435635e-6,21632,3.387114218621782e-5
func_cap,ctrl_lhhc_psych,Q2,0.019101316067753497,0.01049630180732356,0.06878734818346224,21632,0.11731438669461905
func_cap,ctrl_lhhc_psych,Q3,0.009642923739649353,0.012709916416427288,0.4480362665093979,21632,0.5600453331367473
func_cap,ctrl_lhhc_psych,Q4,2.7847923523657836e-5,0.015002236498272497,0.9985189264632393,21632,0.9985189264632393
func_cap,ctrl_lhhc_psych,Q5,0.027245883619022103,0.015057952502404024,0.07038863201677142,21632,0.11731438669461905
func_cap,ctrl_full,Q1,0.04306506596295244,0.009731618149866087,9.632044460785106e-6,21612,4.8160222303925525e-5
func_cap,ctrl_full,Q2,0.018123160746879367,0.010646159194418662,0.08869555552622213,21612,0.14782592587703688
func_cap,ctrl_full,Q3,0.009742131646750132,0.012781147504721438,0.4459247242969845,21612,0.5574059053712306
func_cap,ctrl_full,Q4,-2.334610252992665e-6,0.014854930009218207,0.9998746039552169,21612,0.9998746039552169
func_cap,ctrl_full,Q5,0.026557710480758837,0.015433302363842489,0.08528613711397544,21612,0.14782592587703688
