egt,att,se
-2,-0.0053857415842413275,0.00452283419444905
-1,0.002067631177192745,0.0035553993685560207
0,0.007033550526225649,0.003719368326481427
1,0.001888271183312569,0.004388542844870397
2,0.0075910592817877865,0.006955626239841796
