term,est,se,pval
treat_stack,0.012113726125272523,0.006679563909425101,0.07235474103605241
dvi,-0.07683931830008646,0.007767425292945891,4.567156126240812e-17
treat_stack:dvi,-0.0054685956312053655,0.012969587637352347,0.6740693697237243
