variable,importance
hhcperc_base,0.40469738030713637
age_base,0.1831507010722281
dvi,0.13667962766584188
rural,0.08848042103609441
edu,0.07456109343702133
gender,0.06651741879737637
marry_base,0.0020109186599112368
