outcome,ATT,SE,pval,N_obs
bhci,0.005021506281597982,0.003638706133524627,NA,18361
che,9.19901686372843e-4,0.013808323923314771,NA,11232
srh_cap,-0.007553443229543621,0.007963892388439501,NA,18361
func_cap,0.01972050617222271,0.006567499063418409,NA,18361
psych_cap,0.002897455902114845,0.006214745473368838,NA,18361
