group,ATT,SE,pval,outcome,p_fdr
Low,0.008561338523347284,0.00594573623498831,0.1498922228959941,bhci_fixed,0.22483833434399114
Mid,0.00905796568078747,0.008064772532510298,0.26137292968867304,bhci_fixed,0.26137292968867304
High,0.020150364956410306,0.0066154203969750755,0.0023193180424329082,bhci_fixed,0.006957954127298724
Low,0.030451498079771232,0.007930884640051785,1.2323028091709823e-4,func_cap,3.696908427512947e-4
Mid,0.014822895706310166,0.010753663675353325,0.168078512155796,func_cap,0.18161527590504045
High,0.013859218270690088,0.010375234345196138,0.18161527590504045,func_cap,0.18161527590504045
