outcome,group,ATT,SE,pval,n
bhci_fixed,Low,0.0057943303899303765,0.007212083958100236,0.423464879254983,5213
bhci_fixed,Mid,0.0061291937843508705,0.009038278245697105,0.4990587929394763,5698
bhci_fixed,High,0.01885548593794338,0.005528063352493471,8.99009446617634e-4,13628
func_cap,Low,0.016050987466329547,0.011047262555211252,0.14906216318310417,5630
func_cap,Mid,0.0015483644530780555,0.013251097256600225,0.9071843111821516,6193
func_cap,High,0.025217216812233566,0.009116109215748092,0.006617724484292792,15675
