group,ATT,SE,pval,n,outcome,p_fdr
Low,0.0040445970616729875,0.006371414794232268,0.5268174545382193,8155,bhci_fixed,0.5268174545382193
Mid,0.009064529778739165,0.008906981396251392,0.31098111871433115,6656,bhci_fixed,0.4664716780714967
High,0.0250472078853131,0.006522717770456086,2.0513067350086568e-4,9728,bhci_fixed,6.15392020502597e-4
Low,0.008578304872191207,0.010020838967604882,0.3937521850318375,8837,func_cap,0.3937521850318375
Mid,0.020267993698219442,0.012343466652560926,0.10332153812795898,7488,func_cap,0.15498230719193848
High,0.02676988013987636,0.01032820251458187,0.010815636730508978,11173,func_cap,0.032446910191526936
