ATT,SE,pval,outcome,group,n
0.0027567668069913244,0.007629613403458161,0.7178568260205556,bhci_fixed,Low,6812
0.014031886098204981,0.010110906261544223,0.1651988468857453,bhci_fixed,Mid,5555
0.022200687673852207,0.006688194556962606,9.021619697416765e-4,bhci_fixed,High,7817
0.018540689636664987,0.00979217995913911,0.058302305686934605,func_cap,Low,7332
0.016400209376558915,0.014023335307051464,0.24220457467459128,func_cap,Mid,6222
0.024132734779344193,0.01242258429148686,0.05205844760815477,func_cap,High,8906
