outcome,ATT,SE,pval,n,spec
func_cap,0.019824043563985847,0.006535031871760971,0.0029887107333362423,20273,common_window
bhci_fixed,0.011381413879307169,0.004294719067550615,0.009179941777500863,18048,common_window
