outcome,ATT,SE,pval,n
bhci_fixed,0.0250472078853131,0.006522717770456086,2.0513067350086568e-4,9728
func_cap,0.02676988013987636,0.01032820251458187,0.010815636730508978,11173
psych_cap,0.020915687129025518,0.012399896595748354,0.09445749553933436,9766
srh_cap_fixed,0.01573578381375018,0.01261569714492628,0.2149062529769559,10298
hci_anderson,0.2228562144698329,0.10002222553907396,0.02798810527741917,2571
