outcome,group,ATT,SE,pval,n
bhci_fixed,Low,0.0018599210356231761,0.005410667949347527,0.7316614550248192,10808
bhci_fixed,Mid,0.005227709655998882,0.007392077694233765,0.48088264884537446,8945
bhci_fixed,High,0.019490881479175833,0.006484253187943064,0.003269012903812363,13520
func_cap,Low,0.011273142129791077,0.008083451557203105,0.165826108940816,11758
func_cap,Mid,0.01231646241273796,0.010490064759884257,0.24277772535345568,10044
func_cap,High,0.01879121201857421,0.009600118182487325,0.05276708706492313,15433
