group,ATT,SE,pval,n,outcome,p_fdr
Low,0.0027321916065702924,0.007651882612951388,0.7210458711158755,6829,bhci_fixed,0.7210458711158755
Mid,0.012755748701487749,0.009796303440452413,0.1928828315030456,5571,bhci_fixed,0.2893242472545684
High,0.022005350491623908,0.00683351133316555,0.0012809613720116788,7845,bhci_fixed,0.003842884116035036
Low,0.0162253456992111,0.009869698166355507,0.10018537133511471,7356,func_cap,0.15027805700267205
Mid,0.013647762083504374,0.014702216119664805,0.3532627371625599,6244,func_cap,0.3532627371625599
High,0.024396248778097474,0.012129333784757985,0.044289255410920075,8936,func_cap,0.13286776623276023
