group,pre_periods,wald_stat,df,pval,n
Low,"-3,-2",1.8159479445435567,2,0.40334057596939193,8155
Mid,"-3,-2",0.22704813194684087,2,0.8926827128742341,6656
High,"-3,-2",1.5666942720185881,2,0.45687422900983354,9728
Low_Mid,"-3,-2",1.362350430325056,2,0.5060219581096921,14811
