outcome,contrast,diff,se,pval
bhci_fixed,High-Low,0.02843762819802212,0.00975262290412242,0.003546693923921288
bhci_fixed,High-Mid,0.016685734788846912,0.008823691223302498,0.058622306661540696
func_cap,High-Low,0.02094149067468768,0.013435651261503805,0.1190790157159745
func_cap,High-Mid,0.011524709235388498,0.012719211512166694,0.36488992900877026
