wave,dmat1,n,internet_use,social_info,learning
1,0,3293,0.01579107197084725,0.47950197388399635,0.011539629517157608
1,1,1629,0.0012277470841006752,0.4106813996316759,0.0012277470841006752
2,0,2861,0.013631597343586158,0.48164977280671095,0.010136315973435861
2,1,1430,0.0013986013986013986,0.4111888111888112,0.0013986013986013986
3,0,2679,0.013437849944008958,0.48114968271743186,0.010824934677118328
3,1,1298,7.704160246533128e-4,0.41448382126348227,0
4,0,2379,0.013451029844472467,0.48717948717948717,0.01092896174863388
4,1,1093,0.0018298261665141812,0.42268984446477587,9.149130832570906e-4
