outcome,contrast,diff,se,pval,n,p_fdr
bhci_fixed,0.5|1|0.5 - 0.5|0.5|1,0.02845514108792277,0.022198079037025926,0.19988683857663173,5437,0.39977367715326345
bhci_fixed,1|0.5|0.5 - 0.5|0.5|1,0.05187352636745773,0.020751576850952518,0.012428482731126076,5437,0.0497139309245043
bhci_fixed,1|0|1 - 0.5|0.5|1,-0.01393711259385915,0.02703126597580887,0.6061391894166568,5437,0.7609866230929321
bhci_fixed,1|1|0 - 0.5|0.5|1,0.007520500799355647,0.024723408864586044,0.7609866230929321,5437,0.7609866230929321
func_cap,0.5|1|0.5 - 0.5|0.5|1,0.024426761743292894,0.048585472185799075,0.6151340363827522,5437,0.809318787057892
func_cap,1|0.5|0.5 - 0.5|0.5|1,0.02698979560800374,0.029348027759879363,0.35775779304276184,5437,0.7155155860855237
func_cap,1|0|1 - 0.5|0.5|1,-0.008620168067715539,0.03572313223540293,0.809318787057892,5437,0.809318787057892
func_cap,1|1|0 - 0.5|0.5|1,0.05003764607639094,0.03504263882194715,0.15331849049739166,5437,0.6132739619895666
