group,pre_periods,wald_stat,df,pval,n
Low,"-3,-2",1.5761284726528537,2,0.45472418241873847,7844
Mid,"-3,-2",0.06743385975209701,2,0.9668451508818434,6405
High,"-3,-2",1.660591337000232,2,0.43592037934087813,9612
