group,ATT,SE,pval,n,outcome,spec,p_fdr
Low,0.004394947089823499,0.006614799510267854,0.5077571881917311,7844,bhci_fixed,simple,0.5077571881917311
Mid,0.008466399650761909,0.009373725598394484,0.3683214455862277,6405,bhci_fixed,simple,0.5077571881917311
High,0.02541963904631921,0.006588918729231552,1.9230555400382975e-4,9612,bhci_fixed,simple,5.769166620114893e-4
Low,0.010370832883838636,0.010068296107040109,0.30514878336856416,8227,func_cap,simple,0.30514878336856416
Mid,0.020845734423512414,0.012898159902882586,0.10881972855599864,6919,func_cap,simple,0.16322959283399796
High,0.027253576724457794,0.010570001350128337,0.011223197274292742,10828,func_cap,simple,0.03366959182287822
