outcome,contrast,diff,se,pval
bhci_fixed,High-Low,0.027563676340475816,0.010306914408447306,0.0074887700506199775
bhci_fixed,High-Mid,0.01554823198395552,0.009025955072244058,0.08495844352912026
func_cap,High-Low,0.015011589761982878,0.013767617372321668,0.2755568179593693
func_cap,High-Mid,0.008172007340478236,0.012049221010683522,0.4976330201849165
