group,pre_periods,wald_stat,df,pval,n
Low,"-3,-2",2.3256681764953533,2,0.3125989911623664,7844
Mid,"-3,-2",0.10352003035139487,2,0.9495567187036051,6405
High,"-3,-2",1.5557784793651477,2,0.45937461841225835,9612
