group,ATT,SE,pval,n,outcome,spec,p_fdr
Low,0.0030724343904847146,0.008211543578383586,0.7082849875357022,6640,bhci_fixed,ctrl8_at_means,0.7082849875357022
Mid,0.013890994060620705,0.009794690104334869,0.15612747839943483,5437,bhci_fixed,ctrl8_at_means,0.23419121759915223
High,0.02195800313301996,0.007118784433444015,0.002038837734537661,7785,bhci_fixed,ctrl8_at_means,0.006116513203612983
Low,0.018009554783502673,0.010250808029456375,0.07893634983773964,6940,func_cap,ctrl8_at_means,0.11840452475660947
Mid,0.017650271285492562,0.014588728612478914,0.22633387874590571,5862,func_cap,ctrl8_at_means,0.22633387874590571
High,0.023224840352696518,0.012010180827238988,0.05314230417304405,8723,func_cap,ctrl8_at_means,0.11840452475660947
