tercile,ATT,SE,pval,n,outcome,p_fdr
Low,0.006556851501935162,0.005715073055748411,0.2536426681900017,11275,bhci_fixed,0.2536426681900017
Mid,0.009243247415732896,0.006613339523383619,0.16497531897526047,8874,bhci_fixed,0.2474629784628907
High,0.035694841178562343,0.009888888730626797,4.682228194731849e-4,5440,bhci_fixed,0.0014046684584195547
Low,0.009868309037909941,0.009325574026073702,0.2921826303780369,12136,func_cap,0.2921826303780369
Mid,0.021193418935665186,0.010799417528378494,0.05216717385353829,9895,func_cap,0.07825076078030743
High,0.032520955029594005,0.013251673082775372,0.01570676209163392,6247,func_cap,0.04712028627490175
