wave,ever_treat,ECI_bhci,n
1,0,0.04215410526365331,2439
1,1,0.0572060444151972,1613
2,0,0.026162453439430057,2069
2,1,0.037125715513003366,1303
3,0,0.03629730550000077,1963
3,1,0.0375647907073608,1247
4,0,0.032293227583858115,1617
4,1,0.04382801544981081,1019
