outcome,ATT,SE,pval,n,spec,matching,p_fdr
func_cap,0.026266280276075863,0.008127330555373907,0.0018762154669094938,13894,simple,nn1_with_replacement,0.0037524309338189876
bhci_fixed,0.009497740632165099,0.005189335843161292,0.07147110214000287,12405,simple,nn1_with_replacement,0.07147110214000287
func_cap,0.029175440361449128,0.0076066979509174905,1.2531243311836174e-4,11642,ctrl8_at_means,nn1_with_replacement,2.506248662367235e-4
bhci_fixed,0.009697152216425715,0.005616813417165575,0.08426633699003958,10485,ctrl8_at_means,nn1_with_replacement,0.08426633699003958
