outcome,ATT,SE,pval,n,spec,matching,p_fdr
func_cap,0.01466235193186349,0.009208903148216879,0.11584743607819477,14262,simple,nn1,0.23169487215638954
bhci_fixed,0.00793297207917956,0.005544644304712264,0.15695242723700437,12647,simple,nn1,0.2966622617527487
func_cap,0.010022662346783485,0.00969371819478145,0.3011671385407118,12046,ctrl8_at_means,nn1,0.3011671385407118
bhci_fixed,0.005522057107183061,0.005291263903092054,0.2966622617527487,10775,ctrl8_at_means,nn1,0.2966622617527487
func_cap,0.013926905573434381,0.009481084279945573,0.14582680440027118,16226,simple,nn4,0.29165360880054236
bhci_fixed,0.013028674122288118,0.005307917688988344,0.016303607056056296,14469,simple,nn4,0.03260721411211259
func_cap,0.008965219213864763,0.009699586063356615,0.35533594826235265,13452,ctrl8_at_means,nn4,0.35533594826235265
bhci_fixed,0.009664828027956138,0.004857333868130518,0.04661966251279884,12087,ctrl8_at_means,nn4,0.04661966251279884
