outcome,obs_ATT,placebo_mean,placebo_sd,p5,p95,perm_p_two_sided,perm_p_one_sided,n_success
func,0.019256073519043588,5.8713966449873944e-5,0.011194730932694222,-0.01776469595589365,0.01810093497576487,0.074,0.042,500
bhci,0.013335833885743519,3.1321544849869466e-4,0.006426074031368359,-0.010479541336687662,0.010635444123465013,0.038,0.022,500
