outcome,term,est,se,pval,n
bhci_fixed,treat_stack,0.003011495245722959,0.009105229205549282,0.7414400975263957,24539
bhci_fixed,treat_stack:dvi3,0.01580335415127107,0.012367446518507753,0.20388675814190918,24539
func_cap,treat_stack,0.040560753427666615,0.013623443983108647,0.0035469172683863658,27498
func_cap,treat_stack:dvi3,-0.03226343334406809,0.018246826422438637,0.07968480410503706,27498
