outcome,dvi_terc,ATT,SE,pval,n,p_fdr
bhci_fixed,Low,0.0061830009092011745,0.005856945013248829,0.29333176453336096,15067,0.29333176453336096
bhci_fixed,Mid,0.02209589170402203,0.007543050258867873,0.004110505253656664,7269,0.011399856695129312
bhci_fixed,High,0.030622342740572746,0.011229457186946163,0.007599904463419541,3253,0.011399856695129312
func_cap,Low,0.014515711380217346,0.009094743744062267,0.11322096708834577,16159,0.11496527326302633
func_cap,Mid,0.02003268781184942,0.012612698327189623,0.11496527326302633,8253,0.11496527326302633
func_cap,High,0.038917977488218784,0.01851485238534685,0.03799306890822272,3866,0.11397920672466816
